"Wave","Domein","Subdomein","API-route","Methods","Auth","Bestand","Status"
"0","admin","dashboard","/api/admin/dashboard/location-overview","GET","admin-token","admin/dashboard/location-overview.js","todo"
"0","auth","","/api/auth/login-office","POST","open/store","auth/login-office.js","todo"
"0","auth","","/api/auth/request-invite","POST","open/store","auth/request-invite.js","todo"
"0","auth","","/api/auth/set-password","GET/POST","open/store","auth/set-password.js","todo"
"0","auth","","/api/auth/verify-2fa","POST","open/store","auth/verify-2fa.js","todo"
"1","admin","workqueue","/api/admin/workqueue/:storeId","PATCH","admin-token","admin/workqueue/[storeId].js","todo"
"1","admin","workqueue","/api/admin/workqueue/:storeId/follow-up","POST","admin-token","admin/workqueue/[storeId]/follow-up.js","todo"
"1","me","","/api/me/access-info","GET","user-session","me/access-info.js","todo"
"1","me","","/api/me/confirm-risky","POST","user-session","me/confirm-risky.js","todo"
"1","me","","/api/me/permissions","GET","user-session","me/permissions.js","todo"
"1","me","","/api/me/shift-current","GET","user-session","me/shift-current.js","todo"
"1","me","","/api/me/shift-end","POST","user-session","me/shift-end.js","todo"
"1","me","","/api/me/shift-start","POST","user-session","me/shift-start.js","todo"
"1","me","","/api/me/taken","GET/POST","user-session","me/taken.js","todo"
"1","reserveringen","","/api/reserveringen/index","GET/POST","open/store","reserveringen/index.js","todo"
"1","reserveringen","","/api/reserveringen/products","GET","open/store","reserveringen/products.js","todo"
"1","reserveringen","","/api/reserveringen/update","POST","open/store","reserveringen/update.js","todo"
"1","sendcloud","","/api/sendcloud/create-label","GET?","open/store","sendcloud/create-label.js","todo"
"1","sendcloud","","/api/sendcloud/diagnostics","GET","admin-token","sendcloud/diagnostics.js","todo"
"1","sendcloud","","/api/sendcloud/label-document","GET","open/store","sendcloud/label-document.js","todo"
"1","sendcloud","","/api/sendcloud/labels","GET/POST","open/store","sendcloud/labels.js","todo"
"1","sendcloud","","/api/sendcloud/sender-addresses","GET","open/store","sendcloud/sender-addresses.js","todo"
"1","sendcloud","","/api/sendcloud/shipping-methods","GET","open/store","sendcloud/shipping-methods.js","todo"
"1","srs","customers","/api/srs/customers/create","POST","open/store","srs/customers/create.js","todo"
"1","srs","customers","/api/srs/customers/profile","GET","open/store","srs/customers/profile.js","todo"
"1","srs","customers","/api/srs/customers/update","POST","open/store","srs/customers/update.js","todo"
"1","srs","","/api/srs/debug-config","GET","open/store","srs/debug-config.js","todo"
"1","srs","","/api/srs/dragers","GET","open/store","srs/dragers.js","todo"
"1","srs","dragers","/api/srs/dragers/debug","GET","admin-token","srs/dragers/debug.js","todo"
"1","srs","dragers","/api/srs/dragers/import","POST","open/store","srs/dragers/import.js","todo"
"1","srs","dragers","/api/srs/dragers/receive","POST","open/store","srs/dragers/receive.js","todo"
"1","srs","","/api/srs/fulfillments","GET","open/store","srs/fulfillments.js","todo"
"1","srs","","/api/srs/open-weborders","GET","open/store","srs/open-weborders.js","todo"
"1","srs","open-weborders","/api/srs/open-weborders/charts","GET","open/store","srs/open-weborders/charts.js","todo"
"1","srs","open-weborders","/api/srs/open-weborders/detail","GET","open/store","srs/open-weborders/detail.js","todo"
"1","srs","","/api/srs/order-lines","GET","open/store","srs/order-lines.js","todo"
"1","srs","personnel","/api/srs/personnel/login","POST","open/store","srs/personnel/login.js","todo"
"1","srs","personnel","/api/srs/personnel/me","GET","open/store","srs/personnel/me.js","todo"
"1","srs","personnel","/api/srs/personnel/validate-store","POST","open/store","srs/personnel/validate-store.js","todo"
"1","srs","","/api/srs/purchase-orders","GET","admin-token","srs/purchase-orders.js","todo"
"1","srs","","/api/srs/return","GET/POST/PUT","open/store","srs/return.js","todo"
"1","srs","","/api/srs/store-revenue","GET","open/store","srs/store-revenue.js","todo"
"1","store","actions","/api/store/actions/today","GET","open/store","store/actions/today.js","todo"
"1","store","","/api/store/apply","POST","open/store","store/apply.js","todo"
"1","store","","/api/store/article-search","GET","open/store","store/article-search.js","todo"
"1","store","","/api/store/article-search-kpi","GET","open/store","store/article-search-kpi.js","todo"
"1","store","","/api/store/article-search-live","GET","open/store","store/article-search-live.js","todo"
"1","store","","/api/store/article-stock","POST","open/store","store/article-stock.js","todo"
"1","store","","/api/store/barcode-lookup","GET","open/store","store/barcode-lookup.js","todo"
"1","store","","/api/store/cv-upload","POST","open/store","store/cv-upload.js","todo"
"1","store","","/api/store/hr-verlof","GET","open/store","store/hr-verlof.js","todo"
"1","store","order-cancellations","/api/store/order-cancellations/request","POST","open/store","store/order-cancellations/request.js","todo"
"1","store","order-cancellations","/api/store/order-cancellations/summary","GET","open/store","store/order-cancellations/summary.js","todo"
"1","store","","/api/store/stock-corrections","GET/POST","open/store","store/stock-corrections.js","todo"
"1","store","","/api/store/stock-lookup","GET","open/store","store/stock-lookup.js","todo"
"1","store","stock-negative","/api/store/stock-negative/summary","GET","open/store","store/stock-negative/summary.js","todo"
"1","store","","/api/store/stock-new-arrivals","GET","open/store","store/stock-new-arrivals.js","todo"
"1","store","","/api/store/vacancies","GET","open/store","store/vacancies.js","todo"
"1","store","","/api/store/vereniging-deals","GET","open/store","store/vereniging-deals.js","todo"
"1","store","","/api/store/virtual-store-config","GET","open/store","store/virtual-store-config.js","todo"
"1","vouchers","","/api/vouchers/bulk-create","GET/POST","open/store","vouchers/bulk-create.js","todo"
"1","vouchers","","/api/vouchers/check","GET","open/store","vouchers/check.js","todo"
"1","vouchers","","/api/vouchers/create","GET/POST","open/store","vouchers/create.js","todo"
"1","vouchers","","/api/vouchers/create-and-mail","POST","open/store","vouchers/create-and-mail.js","todo"
